side,date,category,status,count,source_url,source_label
Ukraine,2025-03-13,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/pLSHsc0c/2022-M2-A2-Bradley-ODS-SA-destr-13-03-25.jpg,"82, destroyed"
Ukraine,2025-03-26,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/zBZ1rbYn/2058-M2-A2-Bradley-ODS-SA-destr-26-03-25.jpg,"83, destroyed"
Ukraine,2025-04-03,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/TwjthB3Y/2057-M2-A2-Bradley-ODS-SA-destr03-04-25.jpg,"84, destroyed"
Ukraine,2025-04-04,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/zBYdzq5c/2062-M2-A2-Bradley-ODS-SA-destr-04-04-25.jpg,"85, destroyed"
Ukraine,2024-05-30,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/CKVVCrqw/2004-M2-A2-Bradley-ODS-SA-destr-30-05-24.jpg,"86, destroyed"
Ukraine,2025-04-19,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/vmz7GpML/2009-M2-A2-Bradley-ODS-SA-destr-19-04-25.jpg,"87, destroyed"
Ukraine,2025-04-19,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/sXgYxwgF/2010-M2-A2-Bradley-ODS-SA-destr-19-04-25.jpg,"88, destroyed"
Ukraine,2025-02-28,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/qRyMV46b/2008-M2-A2-Bradley-ODS-SA-destr-28-02-25.jpg,"89, destroyed"
Ukraine,2025-05-10,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/3NJchBck/2020-M2-A2-Bradley-ODS-SA-destr-10-05-25.jpg,"90, destroyed"
Ukraine,2025-05-19,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/4xMrkWtk/2002-M2-A2-Bradley-ODS-SA-destr-19-05-25.jpg,"91, destroyed"
Ukraine,2025-03-31,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/gjJk2jLy/2014-M2-A2-Bradley-ODS-SA-destr-31-03-25.jpg,"92, destroyed"
Ukraine,2025-02-28,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/nrPVjxqy/2007-M2-A2-Bradley-ODS-SA-destr-28-02-25.jpg,"93, destroyed"
Ukraine,2025-05-06,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/15KBvsjZ/2013-M2-A2-Bradley-ODS-SA-destr-06-05-25.jpg,"94, destroyed"
Ukraine,2025-07-19,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/R0VhcCDj/2016-M2-A2-Bradley-ODS-SA-destr-19-07-25.jpg,"95, destroyed"
Ukraine,2025-09-16,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/KcsYn1dG/2004-M2-A2-Bradley-ODS-SA-destr-16-09-25.jpg,"96, destroyed"
Ukraine,2024-12-31,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/pdZhqJFP/2030-M2A2-Bradley-ODS-SA-destr-31-12-24.jpg,"97, destroyed"
Ukraine,2026-03-29,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/28KkbPDF/2151-M2A2-Bradley-ODS-SA-destr-29-03-26.jpg,"98, destroyed"
Ukraine,2023-07-26,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/8zsCQ72k/2000-2x-bradley-dam-26-07-23.jpg,"6, damaged"
Ukraine,2023-06-10,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/Y96ZtPjC/2000-m2a2-bradley-1x-destr-1x-aband-10-06-23.jpg,"10, damaged"
Ukraine,2023-07-23,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/hvNkN3y9/2052-bradley-dam-23-07-23.jpg,"11, damaged"
Ukraine,2023-06-08,Infantry Fighting Vehicles,damaged,2,https://i.postimg.cc/wvtDXC3v/2014-2x-m2a2-dam-08-06-23.jpg,"15 and 16, damaged"
Ukraine,2023-07-23,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/ryb2dKVK/2053-bradley-dam-23-07-23.jpg,"17, damaged"
